 [ID], [x-Winkel], [Einheit]
    1, 370.2432045780, gon
    2, 2.5797913922, rad
    3, 354.7925608011, gon
    4, 1.4561888695, rad
    5, 0.7910161760, rad
    6, 108.6695278970, deg
    7, 346.6094420601, deg
    8, 37.1959942775, gon
    9, 327.8969957082, gon
   10, 114.4492131617, gon
   11, 1.0300429185, deg
   12, 320.3433476395, deg
   13, 181.8025751073, deg
   14, 211.1587982833, gon
   15, 182.3175965665, deg
   16, 6.1843082852, rad
   17, 4.9618287404, rad
   18, 0.3056198862, rad
   19, 321.3733905579, deg
   20, 240.9155937053, gon
   21, 178.5407725322, gon
   22, 193.6480686695, deg
   23, 277.5965665236, deg
   24, 4.0719355424, rad
   25, 3.2539529059, rad
   26, 318.7982832618, deg
   27, 1.0966360622, rad
   28, 133.3333333333, gon
   29, 5.8696995788, rad
   30, 5.4022809293, rad
   31, 258.6552217454, gon
   32, 4.5842982928, rad
   33, 168.4120171674, deg
   34, 267.8111587983, deg
   35, 235.7653791130, gon
   36, 0.1078658422, rad
   37, 74.9642346209, gon
   38, 1.2674236457, rad
   39, 148.3261802575, deg
   40, 334.7639484979, gon
   41, 2.3281044271, rad
   42, 304.3776824034, deg
   43, 6.0135207017, rad
   44, 0.4674186495, rad
   45, 3.4067628490, rad
   46, 5.0157616615, rad
   47, 1.1685466237, rad
   48, 133.9055793991, gon
   49, 200.3433476395, deg
   50, 5.1595827844, rad
   51, 0.7640497155, rad
   52, 5.9236324999, rad
   53, 268.3261802575, deg
   54, 4.5753094726, rad
   55, 2.0224845409, rad
   56, 247.7825464950, gon
   57, 1.3393342071, rad
   58, 2.5168696509, rad
   59, 2.0045069006, rad
   60, 3.0561988619, rad
   61, 170.4721030043, deg
   62, 248.3547925608, gon
   63, 0.7370832549, rad
   64, 46.8669527897, deg
   65, 361.0872675250, gon
   66, 0.7280944347, rad
   67, 2.3910261684, rad
   68, 2.0764174620, rad
   69, 4.9977840212, rad
   70, 63.3476394850, deg
   71, 1.2224795447, rad
   72, 4.0359802617, rad
   73, 5.7438560963, rad
   74, 131.3304721030, deg
   75, 4.4135107093, rad
   76, 179.1130185980, gon
   77, 2.3730485280, rad
   78, 0.7101167944, rad
   79, 1.8337193171, rad
   80, 3.5685616122, rad
   81, 394.8497854077, gon
   82, 5.5461020523, rad
   83, 237.9399141631, deg
   84, 0.8719155576, rad
   85, 5.5820573330, rad
   86, 5.9056548595, rad
   87, 4.3146336873, rad
   88, 4.7550858762, rad
   89, 223.1759656652, gon
   90, 2.4809143702, rad
   91, 104.1487839771, gon
   92, 358.4549356223, deg
   93, 4.8180076175, rad
   94, 195.1359084406, gon
   95, 1.5191106107, rad
   96, 180.8297567954, gon
